third-party,Actor Type,Relative Actor Type,,
Ethiopia,S,R,,
UN,G,G,,
UN,UN,,,
United States of America,S,G,,
OAU,R,R,,
Nigeria,S,R,,
OAU,OAU,,,
Nigeria,Nigeria,,,
Nigeria,Nigeria,,,
IGAD,R,R,,
IGAD,IGAD,,,
IGAD,IGAD,,,
Kenya,S,R,,
Ethiopia,Ethiopia,,,
Eritrea,S,R,,
Uganda,S,R,,
IGAD,IGAD,,,
Kenya,Kenya,,,
Ethiopia,Ethiopia,,,
Eritrea,Eritrea,,,
Uganda,Uganda,,,
IGAD,IGAD,,,
Kenya,Kenya,,,
Ethiopia,Ethiopia,,,
Eritrea,Eritrea,,,
Uganda,Uganda,,,
IGAD,IGAD,,,
Kenya,Kenya,,,
Ethiopia,Ethiopia,,,
Eritrea,Eritrea,,,
Uganda,Uganda,,,
IGAD,IGAD,,,
Kenya,Kenya,,,
Ethiopia,Ethiopia,,,
Eritrea,Eritrea,,,
Uganda,Uganda,,,
IGAD,IGAD,,,
Kenya,Kenya,,,
Ethiopia,Ethiopia,,,
Eritrea,Eritrea,,,
Uganda,Uganda,,,
Carter Center,N,G,,
Eritrea,Eritrea,,,
Fashoda Relief,N,R,,
UN,UN,,,
NGO consortium,N,G,,
IGAD,IGAD,,,
South Africa,S,R,,
Kenya,Kenya,,,
Eritrea,Eritrea,,,
Ethiopia,Ethiopia,,,
Uganda,Uganda,,,
IGAD,IGAD,,,
Kenya,Kenya,,,
Ethiopia,Ethiopia,,,
Eritrea,Eritrea,,,
Uganda,Uganda,,,
IGAD,IGAD,,,
Kenya,Kenya,,,
Ethiopia,Ethiopia,,,
Eritrea,Eritrea,,,
Uganda,Uganda,,,
IGAD,IGAD,,,
Kenya,Kenya,,,
Ethiopia,Ethiopia,,,
Eritrea,Eritrea,,,
Uganda,Uganda,,,
IGAD,IGAD,,,
Kenya,Kenya,,,
Ethiopia,Ethiopia,,,
Eritrea,Eritrea,,,
Uganda,Uganda,,,
Abel Alier,N,R,,
IGAD,IGAD,,,
